bmi_range,status,count,percentage
小於15,免役體位,18,1.24%
大於等於15小於15.5,免役體位,33,2.28%
大於等於15.5小於16,免役體位,23,1.59%
大於等於16小於16.5,免役體位,25,1.73%
大於等於16.5小於17,替代役體位,30,2.07%
大於等於17小於17.5,常備役體位,30,3.07%
大於等於17.5小於18,常備役體位,48,3.31%
大於等於18小於18.5,常備役體位,51,3.52%
大於等於18.5小於19,常備役體位,59,4.07%
大於等於19小於19.5,常備役體位,78,5.39%
大於等於19.5小於20,常備役體位,60,4.14%
大於等於20小於20.5,常備役體位,74,5.11%
大於等於20.5小於21,常備役體位,79,5.46%
大於等於21小於21.5,常備役體位,71,4.90%
大於等於21.5小於22,常備役體位,65,4.49%
大於等於22小於22.5,常備役體位,60,4.14%
大於等於22.5小於23,常備役體位,67,4.63%
大於等於23小於23.5,常備役體位,59,4.07%
大於等於23.5小於24,常備役體位,49,3.38%
大於等於24小於24.5,常備役體位,50,3.45%
大於等於24.5小於25,常備役體位,55,3.80%
大於等於25小於25.5,常備役體位,32,2.21%
大於等於25.5小於26,常備役體位,30,2.07%
大於等於26小於26.5,常備役體位,27,1.86%
大於等於26.5小於27,常備役體位,30,2.07%
大於等於27小於27.5,常備役體位,28,1.93%
大於等於27.5小於28,常備役體位,12,0.83%
大於等於28小於28.5,常備役體位,20,1.38%
大於等於28.5小於29,常備役體位,15,1.04%
大於等於29小於29.5,常備役體位,17,1.17%
大於等於29.5小於30,常備役體位,8,0.55%
大於等於30小於30.5,常備役體位,13,0.90%
大於等於30.5小於31,常備役體位,9,0.62%
大於等於31小於31.5,替代役體位,16,1.10%
大於等於31.5小於32,免役體位,8,0.55%
大於等於32小於32.5,免役體位,14,0.97%
大於等於32.5小於33,免役體位,10,0.69%
大於等於33小於33.5,免役體位,20,1.38%
大於等於33.5小於34,免役體位,6,0.41%
大於等於34小於34.5,免役體位,9,0.62%
大於等於34.5小於35,免役體位,5,0.35%
大於等於35,免役體位,35,2.42%
小於15,免役體位,18,1.24%
大於等於15小於15.5,免役體位,33,2.28%
大於等於15.5小於16,免役體位,23,1.59%
大於等於16小於16.5,免役體位,25,1.73%
大於等於16.5小於17,替代役體位,30,2.07%
大於等於17小於17.5,常備役體位,30,3.07%
大於等於17.5小於18,常備役體位,48,3.31%
大於等於18小於18.5,常備役體位,51,3.52%
大於等於18.5小於19,常備役體位,59,4.07%
